Product ID,Short Description,Cost
DCCUDEL11P14DU7BX002,"DELL PRO 14 PLUS XCTO Ultra 7-265U VPRO, 32GB: 1 x 32GB, 1TB SSD, 14"", Touch, 5MP HDR + IR Camera, Fingerprint Reader, English backlit KB, 3-cell,DOS,3YR PS",1600
DCCUDEL11P14DU7BX001,"DELL PRO 14 PLUS XCTO Ultra 7-265U VPRO, 32GB: 1 x 32GB, 1TB SSD, 14"", Touch, 5MP HDR + IR Camera, Fingerprint Reader, 3-cell, Arabic backlit KB,DOS,3 YR PS",1600
DELL Mobile Workstation ,,
DCCUDEL11M54WU7BX001,"Dell Mobile Precision Workstation 5490 Intel Core Ultra 7 155H vPro Essentials Processor,16 GB: LPDDR5x, 7467 MT/s, dual-channel (onboard),512GB, M.2 2280, Gen4 PCIe NVMe, SSD,Nvidia RTX 1000 Ada Generation, 6 GB GDDR6,14"" FHD+ Non-touch, 1920 x 1200, 60Hz, 500 nits, WLED, 100% sRGB, Low Blue Light, IR Camera and Mic,Arabic Backlight Keyboard with fingerprint reader & AI hotkey,Windows 11 Pro,3YRS Pro Support",2575
DCCUDEL55DOC000RT003,( 210-AZBU ) DELL DOCK WD19S 180W  ,220
DELL VOSTRO  3030,,
DAAUDEL11303DI3BX002,"VOSTRO 3030 MT,I3-12100,8GB,512GB SSD,INTEL UHD 730,NO DVD,ENG KB,DOS,1YR PS NBD",350
DELL Optiplex 7020 PCs MTs,,
DAAUDEL11702DI3BX005,"OptiPlex 7020 MT  Intel Core i3-12100  , 8GB DDR5 Memory, 512GB SSD, Integrated, Wi-Fi and BT, No DVD RW,  Dell Multimedia Keyboard-KB216 - English – Black, Dell Optical Mouse-MS116 - Black ,  Ubuntu Linux 22.04 ,1 ProSupport and Next Business Day Onsite Service",375
DAAUDEL11702DI5BX007,"OptiPlex 7020 MT  Intel Core i5-12500  , 8GB DDR5 Memory, 512GB SSD, Integrated, Wi-Fi and BT, No DVD RW,  Dell Multimedia Keyboard-KB216 - Arabic (QWERTY) – Black, Dell Optical Mouse-MS116 - Black ,  Ubuntu Linux 22.04 ,1 ProSupport and Next Business Day Onsite Service",450
DAAUDEL11702DI7BX007,"OptiPlex 7020 MT PLUS Intel Core i7-14700 vPro , 8GB DDR5 Memory, 512GB SSD, Integrated, Wi-Fi and BT, No DVD RW,  Dell Multimedia Keyboard-KB216 - Arabic (QWERTY) – Black, Dell Optical Mouse-MS116 - Black ,  Ubuntu Linux 22.04 ,1 ProSupport and Next Business Day Onsite Service",680
DAAUDEL11702DI7BX003,"OptiPlex 7020 MT PLUS Intel Core i7-14700 vPro , 8GB DDR5 Memory, 512GB SSD, Integrated, Wi-Fi and BT, No DVD RW,  Dell Multimedia Keyboard-KB216 - English (QWERTY) – Black, Dell Optical Mouse-MS116 - Black ,  Ubuntu Linux 22.04 ,1 ProSupport and Next Business Day Onsite Service",680
DAAUDEL11702DI7BX008,"OptiPlex 7020 MT PLUS Intel Core i7-14700 vPro , 16GB DDR5 Memory, 512GB SSD, Integrated, Wi-Fi and BT, No DVD RW,  Dell Multimedia Keyboard-KB216 - English (QWERTY) – Black, Dell Optical Mouse-MS116 - Black ,  Ubuntu Linux 22.04 ,1 ProSupport and Next Business Day Onsite Service",700
DELL Optiplex 7020 PCs SFF,,
DAAUDEL11702DI5BX004,"OptiPlex 7020 SFF  Intel Core i5-14500 vPro , 2 x 8GB DDR5 Memory,  1TB SSD, Integrated, Wi-Fi and BT, No DVD RW,  Dell Multimedia Keyboard-KB216 - Arabic (QWERTY) – Black, Dell Optical Mouse-MS116 - Black ,  Ubuntu Linux 22.04 ,3 ProSupport and Next Business Day Onsite Service",800
AA-GEN3300069,SAMSUNG 16GB DDR5 PC5600 FOR DESKTOP,70
YY-GEN5500058,DELL WIRELESS COMBO KM3322W,30
